,Gender,Ethnicity,Child's First Name
337,FEMALE,WHITE NON HISPANIC,GABRIELLA
338,FEMALE,WHITE NON HISPANIC,GABRIELLE
339,FEMALE,WHITE NON HISPANIC,GEMMA
340,FEMALE,WHITE NON HISPANIC,GENEVIEVE
341,FEMALE,WHITE NON HISPANIC,GEORGIA
342,FEMALE,WHITE NON HISPANIC,GIA
343,FEMALE,WHITE NON HISPANIC,GIANNA
344,FEMALE,WHITE NON HISPANIC,GIOVANNA
345,FEMALE,WHITE NON HISPANIC,GITTEL
346,FEMALE,WHITE NON HISPANIC,GITTY
347,FEMALE,WHITE NON HISPANIC,GIULIANA
348,FEMALE,WHITE NON HISPANIC,GOLDA
349,FEMALE,WHITE NON HISPANIC,GOLDY
350,FEMALE,WHITE NON HISPANIC,GRACE
351,FEMALE,WHITE NON HISPANIC,GRETA
352,FEMALE,WHITE NON HISPANIC,HADASSA
353,FEMALE,WHITE NON HISPANIC,HADASSAH
354,FEMALE,WHITE NON HISPANIC,HAILEY
355,FEMALE,WHITE NON HISPANIC,HANNA
356,FEMALE,WHITE NON HISPANIC,HANNAH
357,FEMALE,WHITE NON HISPANIC,HARPER
358,FEMALE,WHITE NON HISPANIC,HAZEL
359,FEMALE,WHITE NON HISPANIC,HENNY
360,FEMALE,WHITE NON HISPANIC,HINDY
361,FEMALE,WHITE NON HISPANIC,IDY
362,FEMALE,WHITE NON HISPANIC,ILANA
363,FEMALE,WHITE NON HISPANIC,ISABEL
364,FEMALE,WHITE NON HISPANIC,ISABELLA
365,FEMALE,WHITE NON HISPANIC,ISABELLE
366,FEMALE,WHITE NON HISPANIC,ISLA
367,FEMALE,WHITE NON HISPANIC,IVY
368,FEMALE,WHITE NON HISPANIC,IZABELLA
369,FEMALE,WHITE NON HISPANIC,JACQUELINE
370,FEMALE,WHITE NON HISPANIC,JANE
371,FEMALE,WHITE NON HISPANIC,JASMINE
372,FEMALE,WHITE NON HISPANIC,JENNA
373,FEMALE,WHITE NON HISPANIC,JESSICA
374,FEMALE,WHITE NON HISPANIC,JORDYN
375,FEMALE,WHITE NON HISPANIC,JOSEPHINE
376,FEMALE,WHITE NON HISPANIC,JOYCE
377,FEMALE,WHITE NON HISPANIC,JULIA
378,FEMALE,WHITE NON HISPANIC,JULIANA
379,FEMALE,WHITE NON HISPANIC,JULIANNA
380,FEMALE,WHITE NON HISPANIC,JULIE
381,FEMALE,WHITE NON HISPANIC,JULIET
382,FEMALE,WHITE NON HISPANIC,JULIETTE
383,FEMALE,WHITE NON HISPANIC,KAITLYN
384,FEMALE,HISPANIC,ARELY
385,FEMALE,WHITE NON HISPANIC,KATE
386,FEMALE,WHITE NON HISPANIC,KATHERINE
387,FEMALE,WHITE NON HISPANIC,KATHRYN
388,FEMALE,WHITE NON HISPANIC,KAYLA
389,FEMALE,WHITE NON HISPANIC,KAYLEE
390,FEMALE,WHITE NON HISPANIC,KIRA
391,FEMALE,WHITE NON HISPANIC,KYLIE
392,FEMALE,WHITE NON HISPANIC,LAILA
393,FEMALE,WHITE NON HISPANIC,LARA
394,FEMALE,WHITE NON HISPANIC,LAURA
395,FEMALE,WHITE NON HISPANIC,LAUREN
396,FEMALE,WHITE NON HISPANIC,LAYLA
397,FEMALE,WHITE NON HISPANIC,LEA
398,FEMALE,WHITE NON HISPANIC,LEAH
399,FEMALE,WHITE NON HISPANIC,LEILA
400,FEMALE,WHITE NON HISPANIC,LENA
401,FEMALE,WHITE NON HISPANIC,LEORA
402,FEMALE,WHITE NON HISPANIC,LIA
403,FEMALE,WHITE NON HISPANIC,LIANA
404,FEMALE,WHITE NON HISPANIC,LIBA
405,FEMALE,WHITE NON HISPANIC,LIBBY
406,FEMALE,WHITE NON HISPANIC,LILA
407,FEMALE,WHITE NON HISPANIC,LILAH
408,FEMALE,WHITE NON HISPANIC,LILIANA
409,FEMALE,WHITE NON HISPANIC,LILLIAN
410,FEMALE,WHITE NON HISPANIC,LILLY
411,FEMALE,WHITE NON HISPANIC,LILY
412,FEMALE,WHITE NON HISPANIC,LINA
413,FEMALE,WHITE NON HISPANIC,LOLA
414,FEMALE,WHITE NON HISPANIC,LONDON
415,FEMALE,WHITE NON HISPANIC,LUCY
416,FEMALE,WHITE NON HISPANIC,LYLA
417,FEMALE,WHITE NON HISPANIC,MACKENZIE
418,FEMALE,WHITE NON HISPANIC,MADELEINE
419,FEMALE,WHITE NON HISPANIC,MADELINE
420,FEMALE,WHITE NON HISPANIC,MADELYN
421,FEMALE,WHITE NON HISPANIC,MADISON
422,FEMALE,WHITE NON HISPANIC,MAEVE
423,FEMALE,WHITE NON HISPANIC,MAKAYLA
424,FEMALE,WHITE NON HISPANIC,MALAK
425,FEMALE,WHITE NON HISPANIC,MALKA
426,FEMALE,WHITE NON HISPANIC,MALKY
427,FEMALE,WHITE NON HISPANIC,MARGARET
428,FEMALE,WHITE NON HISPANIC,MARIA
429,FEMALE,WHITE NON HISPANIC,MARIAM
430,FEMALE,WHITE NON HISPANIC,MARY
431,FEMALE,WHITE NON HISPANIC,MATILDA
432,FEMALE,WHITE NON HISPANIC,MAYA
433,FEMALE,WHITE NON HISPANIC,MELANIE
434,FEMALE,WHITE NON HISPANIC,MIA
435,FEMALE,WHITE NON HISPANIC,MICHAELA
436,FEMALE,WHITE NON HISPANIC,MICHAL
437,FEMALE,WHITE NON HISPANIC,MICHELLE
438,FEMALE,WHITE NON HISPANIC,MIKAYLA
439,FEMALE,WHITE NON HISPANIC,MILA
